№,Language,ISO-639 code,Text
1,Af,afrikaans,Hello world
2,Sq,albanian,Hello world
3,Am,amharic,Hello world
4,Ar,arabic,Hello world
5,Hy,armenian,Hello world
6,As,assamese,Hello world
7,Ay,aymara,Hello world
8,Az,azerbaijani,Hello world
9,Bm,bambara,Hello world
10,Eu,basque,Hello world
11,Be,belarusian,Hello world
12,Bn,bengali,Hello world
13,Bho,bhojpuri,Hello world
14,Bs,bosnian,Hello world
15,Bg,bulgarian,Hello world
16,Ca,catalan,Hello world
17,Ceb,cebuano,Hello world
18,Ny,chichewa,Hello world
19,Zh-Cn,chinese (simplified),Hello world
20,Zh-Tw,chinese (traditional),Hello world
21,Co,corsican,Hello world
22,Hr,croatian,Hello world
23,Cs,czech,Hello world
24,Da,danish,Hello world
25,Dv,dhivehi,Hello world
26,Doi,dogri,Hello world
27,Nl,dutch,Hello world
28,En,english,Hello world
29,Eo,esperanto,Hello world
30,Et,estonian,Hello world
31,Ee,ewe,Hello world
32,Tl,filipino,Hello world
33,Fi,finnish,Hello world
34,Fr,french,Hello world
35,Fy,frisian,Hello world
36,Gl,galician,Hello world
37,Ka,georgian,Hello world
38,De,german,Hello world
39,El,greek,Hello world
40,Gn,guarani,Hello world
41,Gu,gujarati,Hello world
42,Ht,haitian creole,Hello world
43,Ha,hausa,Hello world
44,Haw,hawaiian,Hello world
45,Iw,hebrew,Hello world
46,Hi,hindi,Hello world
47,Hmn,hmong,Hello world
48,Hu,hungarian,Hello world
49,Is,icelandic,Hello world
50,Ig,igbo,Hello world
51,Ilo,ilocano,Hello world
52,Id,indonesian,Hello world
53,Ga,irish,Hello world
54,It,italian,Hello world
55,Ja,japanese,Hello world
56,Jw,javanese,Hello world
57,Kn,kannada,Hello world
58,Kk,kazakh,Hello world
59,Km,khmer,Hello world
60,Rw,kinyarwanda,Hello world
61,Gom,konkani,Hello world
62,Ko,korean,Hello world
63,Kri,krio,Hello world
64,Ku,kurdish (kurmanji),Hello world
65,Ckb,kurdish (sorani),Hello world
66,Ky,kyrgyz,Hello world
67,Lo,lao,Hello world
68,La,latin,Hello world
69,Lv,latvian,Hello world
70,Ln,lingala,Hello world
71,Lt,lithuanian,Hello world
72,Lg,luganda,Hello world
73,Lb,luxembourgish,Hello world
74,Mk,macedonian,Hello world
75,Mai,maithili,Hello world
76,Mg,malagasy,Hello world
77,Ms,malay,Hello world
78,Ml,malayalam,Hello world
79,Mt,maltese,Hello world
80,Mi,maori,Hello world
81,Mr,marathi,Hello world
82,Mni-Mtei,meiteilon (manipuri),Hello world
83,Lus,mizo,Hello world
84,Mn,mongolian,Hello world
85,My,myanmar,Hello world
86,Ne,nepali,Hello world
87,No,norwegian,Hello world
88,Or,odia (oriya),Hello world
89,Om,oromo,Hello world
90,Ps,pashto,Hello world
91,Fa,persian,Hello world
92,Pl,polish,Hello world
93,Pt,portuguese,Hello world
94,Pa,punjabi,Hello world
95,Qu,quechua,Hello world
96,Ro,romanian,Hello world
97,Ru,russian,Hello world
98,Sm,samoan,Hello world
99,Sa,sanskrit,Hello world
100,Gd,scots gaelic,Hello world
101,Nso,sepedi,Hello world
102,Sr,serbian,Hello world
103,St,sesotho,Hello world
104,Sn,shona,Hello world
105,Sd,sindhi,Hello world
106,Si,sinhala,Hello world
107,Sk,slovak,Hello world
108,Sl,slovenian,Hello world
109,So,somali,Hello world
110,Es,spanish,Hello world
111,Su,sundanese,Hello world
112,Sw,swahili,Hello world
113,Sv,swedish,Hello world
114,Tg,tajik,Hello world
115,Ta,tamil,Hello world
116,Tt,tatar,Hello world
117,Te,telugu,Hello world
118,Th,thai,Hello world
119,Ti,tigrinya,Hello world
120,Ts,tsonga,Hello world
121,Tr,turkish,Hello world
122,Tk,turkmen,Hello world
123,Ak,twi,Hello world
124,Uk,ukrainian,Hello world
125,Ur,urdu,Hello world
126,Ug,uyghur,Hello world
127,Uz,uzbek,Hello world
128,Vi,vietnamese,Hello world
129,Cy,welsh,Hello world
130,Xh,xhosa,Hello world
131,Yi,yiddish,Hello world
132,Yo,yoruba,Hello world
133,Zu,zulu,Hello world
